Shape_Leng,Gaul00,Fao 1,Region,Objectid,Iso,Isonum,Shape_Area,Country,Shape_Le_1,Iso2,ObjectID_2,Continent,PopDensity,Last Updat,Sqkm,Adm1,Perimeter,Gaul01,latitude,longitude
1.79989713856,240,20883,South-Eastern Asia,2409,THA,764,0.124909704383,Thailand,1.79989713711,THA,20881,Asia,438.5,20050415.0,1493.0,Pathum Thani,1.79989713741,2886,14.0931195083821,100.64495240832
2.6063897581,240,24890,South-Eastern Asia,2410,THA,764,0.160888849335,Thailand,2.60638975927,THA,24888,Asia,306.3,20050415.0,1967.0,Pattani,2.51907927285,2887,6.74789798889067,101.375100246046
3.88789689704,240,20842,South-Eastern Asia,2411,THA,764,0.404881967349,Thailand,3.88789689733,THA,20840,Asia,85.1,20080728.0,4838.0,Phachinburi,3.88789689761,2888,14.0491497177507,101.626340003339
7.7379420997,240,23998,South-Eastern Asia,2412,THA,764,0.332238629222,Thailand,7.73794210582,THA,23996,Asia,56.1,20050415.0,4044.0,Phangnga,4.40291529118,2889,8.6170673875344,98.1675720140096
3.51409224956,240,24577,South-Eastern Asia,2413,THA,764,0.276544978195,Thailand,3.5140922489,THA,24575,Asia,144.9,20050415.0,3376.0,Phatthalung,3.09480877637,2890,7.49266464876011,100.087510655444
3.94814332912,240,19668,South-Eastern Asia,2414,THA,764,0.526128766754,Thailand,3.94814333311,THA,19666,Asia,79.2,20050415.0,6124.0,Phayao,3.94814333174,2891,19.2754352959399,100.171030592803
6.78983830789,240,20159,South-Eastern Asia,2415,THA,764,1.04929469282,Thailand,6.78983831585,THA,20157,Asia,75.6,20050415.0,12410.0,Phetchabun,6.78983830654,2892,16.2193081986545,101.215426444501
3.46204970489,240,21223,South-Eastern Asia,2416,THA,764,0.516372198794,Thailand,3.46204970436,THA,21221,Asia,69.3,20050415.0,6199.0,Phetchaburi,3.4620497041,2893,12.9399324221326,99.6041829311071
3.35859384491,240,20239,South-Eastern Asia,2417,THA,764,0.362448338515,Thailand,3.35859384365,THA,20237,Asia,126.2,20050415.0,4287.0,Phichit,3.35859384164,2894,16.2795966744687,100.377733938452
6.2882324476,240,20059,South-Eastern Asia,2418,THA,764,0.89615396501,Thailand,6.28823245265,THA,20057,Asia,73.2,20050415.0,10560.0,Phitsanulok,6.28823244241,2895,17.0226634712983,100.47870580302
2.48319741066,240,20813,South-Eastern Asia,2419,THA,764,0.214204702579,Thailand,2.48319741268,THA,20811,Asia,282.3,20050415.0,2557.0,Phra Nakhon Si Ayudhya,2.48319741127,2896,14.3896889467385,100.536841118984
4.5703421289,240,19829,South-Eastern Asia,2420,THA,764,0.553327543653,Thailand,4.57034213703,THA,19827,Asia,75.2,20050415.0,6479.0,Phrae,4.57034213029,2897,18.2671898648902,99.9641005987494
